debugZTBZDM:debugD9S0XE,5,1676939287976,"{""color"": ""green"", ""hit"": true, ""phase"": ""TEST"", ""relation"": ""unrelated"", ""response"": ""green"", ""rt"": 6767, ""word"": ""MONKEY""}"
debugZTBZDM:debugD9S0XE,6,1676939289623,"{""color"": ""red"", ""hit"": true, ""phase"": ""TEST"", ""relation"": ""congruent"", ""response"": ""red"", ""rt"": 1645, ""word"": ""RED""}"
debugZTBZDM:debugD9S0XE,7,1676939290363,"{""color"": ""blue"", ""hit"": false, ""phase"": ""TEST"", ""relation"": ""incongruent"", ""response"": ""red"", ""rt"": 739, ""word"": ""RED""}"
debugZTBZDM:debugD9S0XE,8,1676939291013,"{""color"": ""green"", ""hit"": false, ""phase"": ""TEST"", ""relation"": ""congruent"", ""response"": ""red"", ""rt"": 650, ""word"": ""GREEN""}"
debugZTBZDM:debugD9S0XE,9,1676939291300,"{""color"": ""green"", ""hit"": false, ""phase"": ""TEST"", ""relation"": ""incongruent"", ""response"": ""red"", ""rt"": 285, ""word"": ""BLUE""}"
debugZTBZDM:debugD9S0XE,10,1676939291490,"{""color"": ""blue"", ""hit"": false, ""phase"": ""TEST"", ""relation"": ""congruent"", ""response"": ""red"", ""rt"": 189, ""word"": ""BLUE""}"
debugZTBZDM:debugD9S0XE,11,1676939291644,"{""color"": ""red"", ""hit"": true, ""phase"": ""TEST"", ""relation"": ""incongruent"", ""response"": ""red"", ""rt"": 153, ""word"": ""GREEN""}"
debugZTBZDM:debugD9S0XE,12,1676939291953,"{""color"": ""blue"", ""hit"": false, ""phase"": ""TEST"", ""relation"": ""unrelated"", ""response"": ""red"", ""rt"": 309, ""word"": ""ZAMBONI""}"
debugZTBZDM:debugD9S0XE,13,1676939292139,"{""color"": ""red"", ""hit"": true, ""phase"": ""TEST"", ""relation"": ""unrelated"", ""response"": ""red"", ""rt"": 185, ""word"": ""SHIP""}"
debugZTBZDM:debugD9S0XE,14,1676939292142,"{""phase"": ""postquestionnaire"", ""status"": ""begin""}"
debugZTBZDM:debugD9S0XE,15,1676939293868,"{""phase"": ""postquestionnaire"", ""status"": ""submit""}"
debugZTBZDM:debugD9S0XE,16,1676939305171,"{""action"": ""Begin"", ""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""]}"
debugZTBZDM:debugD9S0XE,17,1676939306179,"{""action"": ""NextPage"", ""indexOf"": 0, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-1.html"", ""viewTime"": 1007}"
debugZTBZDM:debugD9S0XE,18,1676939307150,"{""action"": ""NextPage"", ""indexOf"": 1, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-2.html"", ""viewTime"": 967}"
debugZTBZDM:debugD9S0XE,19,1676939307587,"{""action"": ""NextPage"", ""indexOf"": 2, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-3.html"", ""viewTime"": 433}"
debugZTBZDM:debugD9S0XE,20,1676939308691,"{""action"": ""FinishInstructions"", ""indexOf"": 3, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-ready.html"", ""viewTime"": 1101}"
debugZTBZDM:debugD9S0XE,21,1676939330262,"{""action"": ""Begin"", ""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""]}"
debugZTBZDM:debugD9S0XE,22,1676939331177,"{""action"": ""NextPage"", ""indexOf"": 0, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-1.html"", ""viewTime"": 914}"
debugZTBZDM:debugD9S0XE,23,1676939332584,"{""action"": ""NextPage"", ""indexOf"": 1, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-2.html"", ""viewTime"": 1404}"
debugZTBZDM:debugD9S0XE,24,1676939332751,"{""action"": ""NextPage"", ""indexOf"": 2, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-3.html"", ""viewTime"": 166}"
debugZTBZDM:debugD9S0XE,25,1676939333400,"{""action"": ""FinishInstructions"", ""indexOf"": 3, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-ready.html"", ""viewTime"": 647}"
debugZTBZDM:debugD9S0XE,26,1676939334368,"{""color"": ""red"", ""hit"": false, ""phase"": ""TEST"", ""relation"": ""incongruent"", ""response"": ""green"", ""rt"": 963, ""word"": ""GREEN""}"
debugZTBZDM:debugD9S0XE,27,1676939334484,"{""color"": ""green"", ""hit"": true, ""phase"": ""TEST"", ""relation"": ""incongruent"", ""response"": ""green"", ""rt"": 115, ""word"": ""BLUE""}"
debugZTBZDM:debugD9S0XE,28,1676939334621,"{""color"": ""blue"", ""hit"": false, ""phase"": ""TEST"", ""relation"": ""unrelated"", ""response"": ""green"", ""rt"": 136, ""word"": ""ZAMBONI""}"
debugZTBZDM:debugD9S0XE,29,1676939334764,"{""color"": ""red"", ""hit"": false, ""phase"": ""TEST"", ""relation"": ""unrelated"", ""response"": ""green"", ""rt"": 142, ""word"": ""SHIP""}"
debugZTBZDM:debugD9S0XE,30,1676939334898,"{""color"": ""green"", ""hit"": true, ""phase"": ""TEST"", ""relation"": ""unrelated"", ""response"": ""green"", ""rt"": 133, ""word"": ""MONKEY""}"
debugZTBZDM:debugD9S0XE,31,1676939335040,"{""color"": ""green"", ""hit"": true, ""phase"": ""TEST"", ""relation"": ""congruent"", ""response"": ""green"", ""rt"": 141, ""word"": ""GREEN""}"
debugZTBZDM:debugD9S0XE,32,1676939335186,"{""color"": ""blue"", ""hit"": false, ""phase"": ""TEST"", ""relation"": ""incongruent"", ""response"": ""green"", ""rt"": 144, ""word"": ""RED""}"
debugZTBZDM:debugD9S0XE,33,1676939335340,"{""color"": ""red"", ""hit"": false, ""phase"": ""TEST"", ""relation"": ""congruent"", ""response"": ""green"", ""rt"": 153, ""word"": ""RED""}"
debugZTBZDM:debugD9S0XE,34,1676939335481,"{""color"": ""blue"", ""hit"": false, ""phase"": ""TEST"", ""relation"": ""congruent"", ""response"": ""green"", ""rt"": 140, ""word"": ""BLUE""}"
debugZTBZDM:debugD9S0XE,35,1676939335482,"{""phase"": ""postquestionnaire"", ""status"": ""begin""}"
debugZTBZDM:debugD9S0XE,36,1676939342461,"{""phase"": ""postquestionnaire"", ""status"": ""submit""}"
debugZTBZDM:debugD9S0XE,37,1676939525477,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""], ""action"": ""Begin""}"
debugZTBZDM:debugD9S0XE,38,1676939526707,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-1.html"", ""indexOf"": 0, ""action"": ""NextPage"", ""viewTime"": 1229}"
debugZTBZDM:debugD9S0XE,39,1676939527437,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-2.html"", ""indexOf"": 1, ""action"": ""NextPage"", ""viewTime"": 726}"
debugZTBZDM:debugD9S0XE,40,1676939527877,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-3.html"", ""indexOf"": 2, ""action"": ""NextPage"", ""viewTime"": 438}"
debugZTBZDM:debugD9S0XE,41,1676939529929,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-ready.html"", ""indexOf"": 3, ""action"": ""FinishInstructions"", ""viewTime"": 2049}"
debugGTDATA:debug8OYSN3,0,1676940488333,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""], ""action"": ""Begin""}"
debugGTDATA:debug8OYSN3,1,1676940489416,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-1.html"", ""indexOf"": 0, ""action"": ""NextPage"", ""viewTime"": 1082}"
debugGTDATA:debug8OYSN3,2,1676940490099,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-2.html"", ""indexOf"": 1, ""action"": ""NextPage"", ""viewTime"": 679}"
debugGTDATA:debug8OYSN3,3,1676940490265,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-3.html"", ""indexOf"": 2, ""action"": ""NextPage"", ""viewTime"": 163}"
debugGTDATA:debug8OYSN3,4,1676940490866,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-ready.html"", ""indexOf"": 3, ""action"": ""FinishInstructions"", ""viewTime"": 599}"
debug8KL2ZB:debug9STL9Z,0,1676958749769,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""], ""action"": ""Begin""}"
debug8KL2ZB:debug9STL9Z,1,1676958751033,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-1.html"", ""indexOf"": 0, ""action"": ""NextPage"", ""viewTime"": 1264}"
debug8KL2ZB:debug9STL9Z,2,1676958752201,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-2.html"", ""indexOf"": 1, ""action"": ""NextPage"", ""viewTime"": 1165}"
debug8KL2ZB:debug9STL9Z,3,1676958752466,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-3.html"", ""indexOf"": 2, ""action"": ""NextPage"", ""viewTime"": 261}"
debug8KL2ZB:debug9STL9Z,4,1676958753449,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-ready.html"", ""indexOf"": 3, ""action"": ""FinishInstructions"", ""viewTime"": 978}"
debugL29291:debug3LRE7Q,0,1676959304009,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""], ""action"": ""Begin""}"
debugL29291:debug3LRE7Q,1,1676959305119,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-1.html"", ""indexOf"": 0, ""action"": ""NextPage"", ""viewTime"": 1109}"
debugL29291:debug3LRE7Q,2,1676959305618,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-2.html"", ""indexOf"": 1, ""action"": ""NextPage"", ""viewTime"": 496}"
debugL29291:debug3LRE7Q,3,1676959305984,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-3.html"", ""indexOf"": 2, ""action"": ""NextPage"", ""viewTime"": 364}"
debugL29291:debug3LRE7Q,4,1676959307116,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-ready.html"", ""indexOf"": 3, ""action"": ""FinishInstructions"", ""viewTime"": 1131}"
debugNDK4I1:debug3JOPYW,0,1676959348244,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""], ""action"": ""Begin""}"
debugNDK4I1:debug3JOPYW,1,1676959349331,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-1.html"", ""indexOf"": 0, ""action"": ""NextPage"", ""viewTime"": 1086}"
debugNDK4I1:debug3JOPYW,2,1676959349986,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-2.html"", ""indexOf"": 1, ""action"": ""NextPage"", ""viewTime"": 653}"
debugNDK4I1:debug3JOPYW,3,1676959350333,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-3.html"", ""indexOf"": 2, ""action"": ""NextPage"", ""viewTime"": 346}"
debugNDK4I1:debug3JOPYW,4,1676959351769,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-ready.html"", ""indexOf"": 3, ""action"": ""FinishInstructions"", ""viewTime"": 1435}"
debugAGUOVB:debugK7RV6O,0,1676959447807,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""], ""action"": ""Begin""}"
debugAGUOVB:debugK7RV6O,1,1676959448533,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-1.html"", ""indexOf"": 0, ""action"": ""NextPage"", ""viewTime"": 725}"
debugAGUOVB:debugK7RV6O,2,1676959449167,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-2.html"", ""indexOf"": 1, ""action"": ""NextPage"", ""viewTime"": 631}"
debugAGUOVB:debugK7RV6O,3,1676959449499,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-3.html"", ""indexOf"": 2, ""action"": ""NextPage"", ""viewTime"": 330}"
debugAGUOVB:debugK7RV6O,4,1676959450482,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-ready.html"", ""indexOf"": 3, ""action"": ""FinishInstructions"", ""viewTime"": 981}"
debugHVXODW:debugUU4M09,0,1676959560690,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""], ""action"": ""Begin""}"
